Title,ID,Published_date,Tags,Views,Likes,Comments,Duration,Captoins
Black American History Arts & Culture | Compilation,bfH3fkIsc5U,2024-02-16T16:30:06Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Clint Smith', 'Hank Green', 'John Green', 'Black American History', 'Zora Neale Hurston', 'Phillis Wheatley', 'harlem renaissance', 'toni morrison', 'Complexly', 'black history month', 'black history month 2024', 'lecture', 'compilation', 'february', 'american history', 'harlem history', 'black literature', 'black art', 'black history facts', 'black history video', 'rap', 'hip hop', 'black american history', 'black american culture', 'black american art']",1004,0,8,PT1H13M13S,true
Why Are All Humans Unique? Meiosis: Crash Course Biology #30,pj1oFx42d48,2024-02-13T17:00:39Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio']",31538,0,18,PT12M50S,true
Mitosis and the Cell Cycle: Crash Course Biology #29,skPOXcVvS5c,2024-02-06T17:00:44Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",39299,0,11,PT11M11S,true
Photosynthesis: The Original Solar Power: Crash Course Biology #28,-ZRsLhaukn8,2024-01-30T17:00:00Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'photosynthesis', 'chloroplasts', 'light-dependent reactions', 'calvin cycle', 'carbon fixation']",44825,0,26,PT13M4S,true
How do cells get their energy? (Electron Transport Chain): Crash Course Biology #27,HeO3yagexTw,2024-01-23T17:00:13Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'atp', 'adenosine triphosphate', 'cellular respiration', 'electron transport chain', 'krebs cycle', 'glycolysis', 'citric acid cycle', 'pyruvate']",56437,0,49,PT14M2S,true
How Do We Get Energy? (Chemical Reactions): Crash Course Biology #26,62cN8Z5Velo,2024-01-16T17:00:05Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'atp', 'celllular energy', 'thermodynamics', 'energy', 'adenosine triphosphate', 'potential energy', 'phosphate bonds', 'phosphate groups', 'hydrolysis', 'entropy', 'exergonic reactions', 'endergonic reactions', 'reactants', 'enzymes', 'metabolic pathways']",36985,0,41,PT13M27S,true
How Do Cells Communicate? (Cell Communication): Crash Course Biology #25,p15KSbNxb28,2024-01-09T17:00:44Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'cell communication', 'cellular communication', 'cells', 'transduction', 'estrogen', 'progesterone', 'autocrine', 'endocrine signaling', 'hormones', 'adrenaline']",46440,0,57,PT11M10S,true
How Does Stuff Get Into Your Cells? (Cell Membranes): Crash Course Biology #24,9Ia8zH-qMZw,2023-12-19T17:00:06Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'membrane', 'cell membrane', 'lipid', 'phospholipid bilayer', 'membrane structure', 'membrane transport']",49773,0,31,PT13M20S,true
A Tour of the Cell: Crash Course Biology #23,jsDxw63QqK0,2023-12-12T17:00:44Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'cell', 'mitochondria', 'chloroplast', 'vacuole', 'endoplasmic reticulum', 'nucleus', 'cell biology', 'eukaryotic', 'endosymbiosis', 'modern cell theory', 'classical cell theory', 'Robert Hooke']",78704,0,42,PT13M52S,true
How We See What We Can't See (Microscopes): Crash Course Biology #22,V66WBvI7Ufw,2023-12-05T17:00:31Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'microscopy', 'cryoelectron microscopy', 'light microscopes', 'how microscopes work']",46555,0,10,PT13M1S,true
